OverallQual,GrLivArea,BedroomAbvGr,GarageArea,YearBuilt,KitchenQual,SalePrice
7,1710,3,548,2003,Gd,208500
6,1262,3,460,1976,TA,181500
7,1786,3,608,2001,Gd,223500
7,1717,3,642,1915,Gd,140000
8,2198,4,836,2000,Gd,250000
5,1362,1,480,1993,TA,143000
8,1694,3,636,2004,Gd,307000
7,2090,3,484,1973,TA,200000
7,1774,2,468,1931,TA,129900
5,1077,2,205,1939,TA,118000
5,1040,3,384,1965,TA,129500
9,2324,4,736,2005,Ex,345000
5,912,2,352,1962,TA,144000
7,1494,3,840,2006,Gd,279500
6,1253,2,352,1960,TA,157000
7,854,2,576,1929,TA,132000
6,1004,2,480,1970,TA,149000
4,1296,2,516,1967,TA,90000
5,1114,3,576,2004,Gd,159000
5,1339,3,294,1958,TA,139000
8,2376,4,853,2005,Gd,325300
7,1108,3,280,1930,Gd,139400
8,1795,3,534,2002,Gd,230000
5,1060,3,572,1976,TA,129900
5,1060,3,270,1968,Gd,154000
8,1600,3,890,2007,Gd,256300
5,900,3,576,1951,Gd,134800
8,1704,3,772,2007,Gd,306000
5,1600,2,319,1957,TA,207500
4,520,1,240,1927,Fa,68500
4,1317,3,250,1920,TA,40000
5,1228,3,271,1966,Gd,149350
8,1234,3,484,2007,Gd,179900
5,1700,4,447,1959,Gd,165500
9,1561,2,556,2005,Ex,277500
8,2452,4,691,2004,Gd,309000
5,1097,3,672,1994,TA,145000
5,1297,3,498,1954,TA,153000
5,1057,3,246,1953,Gd,109000
4,1152,2,0,1955,Fa,82000
6,1324,3,440,1965,TA,160000
5,1328,2,308,1959,TA,170000
5,884,2,504,1983,Gd,144000
5,938,3,308,1975,TA,130250
5,1150,3,300,1959,TA,141000
9,1752,2,576,2005,Ex,319900
7,2149,1,670,2003,Gd,239686
8,1656,3,826,2006,Gd,249700
4,1452,2,0,1920,TA,113000
5,955,3,386,1966,TA,127000
6,1470,3,388,1997,TA,177000
6,1176,3,528,1934,TA,114500
5,816,2,516,1963,TA,110000
9,1842,0,894,1981,Gd,385000
5,1360,3,572,1955,TA,130000
6,1425,3,576,1964,TA,180500
8,1739,3,480,1999,Gd,172500
7,1720,3,565,2004,Gd,196500
10,2945,3,641,2006,Gd,438780
5,780,2,352,1972,TA,124900
6,1158,3,576,2004,Gd,158000
5,1111,3,288,1920,Fa,101000
8,1370,2,484,2006,Gd,202500
7,1710,3,480,1921,TA,140000
7,2034,3,645,1997,Gd,219500
8,2473,4,852,2004,Gd,317000
7,2207,3,576,1970,TA,180000
7,1479,3,558,2003,Gd,226000
4,747,2,220,1945,TA,80000
7,2287,3,667,1953,TA,225000
7,2223,3,516,1973,TA,244000
4,845,2,360,1982,TA,129500
7,1718,3,427,1998,TA,185000
5,1086,3,490,1954,TA,144900
3,1605,3,379,1915,TA,107400
4,988,2,297,1973,TA,91000
4,952,2,283,1956,TA,135750
5,1285,2,240,1948,TA,127000
4,1768,4,0,1968,TA,136500
5,1230,2,440,1910,TA,110000
6,2142,4,509,1968,Gd,193500
6,1337,2,405,1998,TA,153500
8,1563,3,758,2007,Gd,245000
5,1065,3,461,1960,TA,126500
7,1474,3,400,1995,TA,168500
8,2417,4,462,1991,Gd,260000
6,1560,3,400,2005,Gd,174000
6,1224,2,528,2009,Gd,164500
3,1526,2,0,1915,Fa,85000
4,990,3,0,1994,TA,123600
4,1040,2,420,1950,TA,109900
5,1235,2,480,1961,TA,98600
5,964,2,432,1921,TA,163500
6,2291,4,506,1910,TA,133900
6,1786,3,684,1997,Gd,204750
6,1470,3,420,1993,TA,185000
7,1588,3,472,1999,Gd,214000
4,960,3,432,1965,TA,94750
5,835,2,366,1920,TA,83000
4,1225,3,0,1959,TA,128950
6,1610,3,480,1977,Gd,205000
6,1732,3,476,1985,Gd,178000
5,1535,4,410,1979,TA,118964
7,1226,3,740,2009,Gd,198900
7,1818,4,240,1931,TA,169500
8,1992,3,648,2003,Gd,250000
4,1047,2,273,1885,TA,100000
5,789,2,250,1948,TA,115000
5,1517,3,0,1919,Fa,115000
6,1844,3,546,1977,TA,190000
6,1855,4,325,1954,TA,136900
7,1430,3,400,2000,TA,180000
7,2696,4,792,2007,Ex,383970
6,2259,3,450,1953,Gd,217000
6,2320,3,180,1945,Gd,259500
6,1458,2,440,1999,TA,176000
5,1092,3,288,1962,TA,139000
5,1125,2,430,2006,TA,155000
7,3222,5,594,1990,Gd,320000
6,1456,3,390,2005,Gd,163990
6,988,1,540,1969,TA,180000
4,1123,3,264,1939,TA,100000
6,1080,3,288,1958,TA,136000
6,1199,2,530,1993,Gd,153900
6,1586,3,435,1979,TA,181000
6,754,2,0,1935,TA,84500
6,958,2,440,1976,TA,128000
5,840,3,0,1930,TA,87000
6,1348,3,453,1966,TA,155000
5,1053,3,750,1958,Ex,150000
7,2157,4,487,1966,Gd,226000
6,2054,3,390,2000,Gd,244000
5,1327,3,624,1959,Gd,150750
8,1296,2,471,2001,Gd,220000
5,1721,3,440,1968,TA,180000
7,1682,3,530,1970,TA,174000
5,1214,3,318,1967,TA,143000
7,1959,5,766,1988,TA,171000
8,1852,3,660,1999,Gd,230000
6,1764,3,470,1997,Gd,231500
4,864,3,0,1971,TA,115000
7,1734,3,660,2005,Gd,260000
5,1385,4,720,1952,TA,166000
7,1501,3,577,1999,Gd,204000
5,1728,6,504,1963,TA,125000
6,1709,3,380,2004,Gd,130000
5,875,2,180,1931,TA,105000
7,2035,3,434,2001,Gd,222500
7,1080,3,0,2004,Gd,141000
5,1344,3,240,1936,TA,115000
5,969,3,440,1975,TA,122000
8,1710,2,866,2007,Gd,372402
6,1993,4,495,1971,TA,190000
6,1252,1,564,1960,TA,235000
6,1200,4,312,1923,TA,125000
